tarih,aylik_su_tuketimi_m3
01/01/2010,60626396
01/02/2010,55607348
01/03/2010,60690331
01/04/2010,60059862
01/05/2010,68130651
01/06/2010,65795212
01/07/2010,68313717
01/08/2010,75593824
01/09/2010,66734410
01/10/2010,66419219
01/11/2010,64087337
01/12/2010,65969091
01/01/2011,65178040
01/02/2011,59158616
01/03/2011,65895328
01/04/2011,63178959
01/05/2011,69282717
01/06/2011,72126045
01/07/2011,76919236
01/08/2011,75956709
01/09/2011,71905674
01/10/2011,70069457
01/11/2011,65797021
01/12/2011,68281562
01/01/2012,67137483
01/02/2012,63613247
01/03/2012,67727010
01/04/2012,66769376
01/05/2012,71703788
01/06/2012,77506799
01/07/2012,83573867
01/08/2012,80097978
01/09/2012,76396279
01/10/2012,75990939
01/11/2012,70456166
01/12/2012,71963543
01/01/2013,71538387
01/02/2013,64378844
01/03/2013,71662936
01/04/2013,70859234
01/05/2013,80496209
01/06/2013,79433474
01/07/2013,84224117
01/08/2013,82986767
01/09/2013,80163154
01/10/2013,76076650
01/11/2013,73245933
01/12/2013,74388464
01/01/2014,74527653
01/02/2014,66843877
01/03/2014,73786120
01/04/2014,72908847
01/05/2014,79584385
01/06/2014,80019990
01/07/2014,84905045
01/08/2014,83261512
01/09/2014,78215223
01/10/2014,77767193
01/11/2014,75343845
01/12/2014,77284887
01/01/2015,77052717
01/02/2015,67912068
01/03/2015,75458980
01/04/2015,74176719
01/05/2015,82904907
01/06/2015,82471775
01/07/2015,88453369
01/08/2015,89858669
01/09/2015,84083159
01/10/2015,82263162
01/11/2015,79386847
01/12/2015,81133032
01/01/2016,80206459
01/02/2016,74114256
01/03/2016,79146850
01/04/2016,80340362
01/05/2016,84951183
01/06/2016,88033179
01/07/2016,88076237
01/08/2016,91773451
01/09/2016,84766595
01/10/2016,85454129
01/11/2016,80802196
01/12/2016,80957730
01/01/2017,81756501
01/02/2017,73514852
01/03/2017,81214868
01/04/2017,80662678
01/05/2017,87440604
01/06/2017,87007974
01/07/2017,93177171
01/08/2017,91794492
01/09/2017,87629907
01/10/2017,87114343
01/11/2017,84162792
01/12/2017,85164997
01/01/2018,84211529
01/02/2018,75691628
01/03/2018,84273785
01/04/2018,84239139
01/05/2018,90368583
01/06/2018,90830898
01/07/2018,95089692
01/08/2018,93402286
01/09/2018,88052987
01/10/2018,86863707
01/11/2018,83213083
01/12/2018,84728014
01/01/2019,83575597
01/02/2019,74797114
01/03/2019,84665873
01/04/2019,84968029
01/05/2019,93691726
01/06/2019,93135043
01/07/2019,96028306
01/08/2019,94170938
01/09/2019,91987004
01/10/2019,90439340
01/11/2019,86747435
01/12/2019,87563432
01/01/2020,84977984
01/02/2020,80120814
01/03/2020,88457622
01/04/2020,84337860
01/05/2020,90040182
01/06/2020,90923880
01/07/2020,98185060
01/08/2020,98344555
01/09/2020,95694060
01/10/2020,92905760
01/11/2020,85450620
01/12/2020,85625596
01/01/2021,84010000
01/02/2021,77000000
01/03/2021,85560000
01/04/2021,82500000
01/05/2021,91450000
01/06/2021,89400000
01/07/2021,96100000
01/08/2021,103540000
01/09/2021,92510000
